"conversation_id_str,""""created_at""","""favorite_count""","""full_text""","""id_str""","""image_url""","""in_reply_to_screen_name""","""lang""","""location""","""quote_count""","""reply_count""","""retweet_count""","""tweet_url""","""user_id_str""","""username"
"1919825651550285997,""""Tue May 06 18:44:38 +0000 2025""","""0""","""Setidaknya kamu punya cara unik buat bertahan di kehidupan ini Allah udah seneng.. Cari cara buat menerapkan kesabaran untuk proses hidup ini dengan cara yang unik atau norak sekalipun... Yang penting ga merugikan diri sendiri dan orang lain.""","""1919825651550285997""","""""","""""","""in""","""DKI Jakarta, Indonesia""","""0""","""1""","""0""","""https://x.com/rin7i/status/1919825651550285997""","""1216053807945109505""","""rin7i"
"1919819565791686850,""""Tue May 06 18:20:27 +0000 2025""","""0""","""Bisa gasi kalo mabok gosah norak (berisik rese sangean). Bisa gak lu kalo mabok yaudeh diem aje anjing gosah ganggu yg gak mabok.""","""1919819565791686850""","""""","""""","""in""","""belakang gawang""","""0""","""0""","""0""","""https://x.com/efaesem_/status/1919819565791686850""","""2789024161""","""efaesem_"
"1919712557448745066,""""Tue May 06 18:12:26 +0000 2025""","""0""","""@tanyarlfes dulu pgn bgt couplean gelang soalnya ada lewat di ig lucu gitu ga norak tpi gweh tau dia ga akan mau aowkwowk sama gw kesel bgt klo liat dia pake karet gelang entah punya siapa ituh""","""1919817548968972430""","""""","""tanyarlfes""","""in""","""rumah lee do hyun""","""0""","""1""","""0""","""https://x.com/kgyamackr/status/1919817548968972430""","""1081400782207897600""","""kgyamackr"
"1919775635695632893,""""Tue May 06 15:25:53 +0000 2025""","""0""","""Jurus MALING TERIAK MALING. Dia yg norak orang lain yg dituduh.""","""1919775635695632893""","""""","""""","""in""","""""","""0""","""1""","""0""","""https://x.com/prabu_yudistyra/status/1919775635695632893""","""517913185""","""prabu_yudistyra"
"1919671137581334903,""""Tue May 06 15:17:52 +0000 2025""","""0""","""@realmadridindo1 Norak lu! ‍↔️""","""1919773616339583429""","""""","""realmadridindo1""","""in""","""""","""0""","""0""","""0""","""https://x.com/giriginanjar/status/1919773616339583429""","""42003580""","""giriginanjar"
"1919765377535402105,""""Tue May 06 15:11:44 +0000 2025""","""0""","""@astronauttsz Ayo ganti nama juga ce nama lu norak ketinggalan jaman kampung. Hahaha""","""1919772071682351437""","""""","""astronauttsz""","""in""","""Jakarta Capital Region""","""0""","""1""","""0""","""https://x.com/hajision/status/1919772071682351437""","""1753751463480983552""","""hajision"
"1919771331920593212,""""Tue May 06 15:08:47 +0000 2025""","""0""","""i was serious when i said pengen masuk dunia isekai like i wish i was born gepeng ak mau membesarkan naga dan makan kukis di pesta teh walopun mungkin akan disindir norak oleh nyonya duchess tapi gpp i got black belt in idgafism""","""1919771331920593212""","""""","""""","""in""","""Loveland, CO""","""0""","""0""","""0""","""https://x.com/LCAEunchae/status/1919771331920593212""","""366394674""","""LCAEunchae"
"1919770419420397773,""""Tue May 06 15:05:10 +0000 2025""","""0""","""Dulu sabana sempet ada di kori dket plang kori nuasa bngt. Pernaj beli dan mungkin aku norak ya dulu (itu pas SD) beneran enak bngt juicy trs lembus itu bagian dada btw. Sekarang gtau msih sda apa ngga. ACK oke lah meskipun kasirnya sering gak ngasih saos""","""1919770419420397773""","""""","""""","""in""","""⚠️hars words, nsfw""","""0""","""1""","""0""","""https://x.com/cherrycheori/status/1919770419420397773""","""1391910894855065602""","""cherrycheori"
"1919769461214871713,""""Tue May 06 15:01:21 +0000 2025""","""0""","""norak tau gak sih? 2 hal yang jangan disamain f1 itu sport kpop itu art beda treatmentnya. Sport should be harsh sport should be competitive if you're not you're out. Gaada nih perlakuan gaadil dll. fansnya yang ngatur diketawain yang ada itu mah udah urusan-""","""1919769461214871713""","""""","""""","""in""","""""","""0""","""1""","""0""","""https://x.com/anakkucingkecil/status/1919769461214871713""","""1749127898219663360""","""anakkucingkecil"
"1919751789798424856,""""Tue May 06 14:59:15 +0000 2025""","""0""","""@folkshittmedia Warga norak""","""1919768931880808498""","""""","""folkshittmedia""","""in""","""""","""0""","""0""","""0""","""https://x.com/putrilaaaras/status/1919768931880808498""","""479338416""","""putrilaaaras"
"1919260392141869451,""""Tue May 06 14:58:58 +0000 2025""","""0""","""@AnnisaFaze53556 @zoelfick Bacot lu bocil. Banyak org lagi lapar gak begitu. dzolam dzolim akhirat norak lu!""","""1919768859109650797""","""""","""AnnisaFaze53556""","""in""","""""","""0""","""0""","""0""","""https://x.com/freemaksi/status/1919768859109650797""","""1791046334654615552""","""freemaksi"
"1919533858451521788,""""Tue May 06 14:58:17 +0000 2025""","""0""","""@tanyarlfes Kalo norak ngga sii""","""1919768687722086714""","""""","""tanyarlfes""","""in""","""""","""0""","""0""","""0""","""https://x.com/choopachoopsy/status/1919768687722086714""","""1214055268331352064""","""choopachoopsy"
"1919680482222002634,""""Tue May 06 14:54:04 +0000 2025""","""1""","""@MurtadhaOne1 luhut norak !""","""1919767627968192962""","""""","""MurtadhaOne1""","""in""","""World""","""0""","""0""","""0""","""https://x.com/cerminduaarah/status/1919767627968192962""","""79520986""","""cerminduaarah"
"1919715247604031977,""""Tue May 06 14:53:17 +0000 2025""","""0""","""@istaaanyan Apalagi ini 'norak momen' ""","""1919767428982001784""","""""","""istaaanyan""","""in""","""Mostly Geon Yuki ""","""0""","""1""","""0""","""https://x.com/nishiyamaayuki/status/1919767428982001784""","""1795665127230078976""","""nishiyamaayuki"
"1919762112664240560,""""Tue May 06 14:46:44 +0000 2025""","""0""","""@kissyhiktyu Ih norak diaa""","""1919765782747054365""","""""","""kissyhiktyu""","""in""","""hoon's""","""0""","""1""","""0""","""https://x.com/tinierbell/status/1919765782747054365""","""1379386438236528641""","""tinierbell"
"1919567534006899019,""""Tue May 06 14:46:11 +0000 2025""","""0""","""@ChelseafanIndo Lu dari kemaren norak banget malu-maluin fans Chelsea ae""","""1919765644222070802""","""""","""ChelseafanIndo""","""in""","""Kota Malang, Jawa Timur""","""0""","""0""","""0""","""https://x.com/fatihalkhodhi_/status/1919765644222070802""","""1303009694886146056""","""fatihalkhodhi_"
"1919700502079742039,""""Tue May 06 14:39:52 +0000 2025""","""0""","""@Iyangaprill Yap berlebihan dan norak Santai Weh padahal mah nya teh""","""1919764054677090317""","""""","""Iyangaprill""","""in""","""""","""0""","""0""","""0""","""https://x.com/nobelramadh/status/1919764054677090317""","""2945666898""","""nobelramadh"
"1919660815961227380,""""Tue May 06 14:35:19 +0000 2025""","""0""","""@renadssance @studylogz org pamulang emg norak gtu nar""","""1919762907929444397""","""""","""renadssance""","""in""","""""","""0""","""2""","""0""","""https://x.com/prapowo/status/1919762907929444397""","""1266987954825605122""","""prapowo"
"1919662785715400824,""""Tue May 06 14:35:19 +0000 2025""","""0""","""@InteristaLK This is Juve fans Broh bukan fans norak kaya yg itu ""","""1919762906603749837""","""""","""InteristaLK""","""in""","""Ur's""","""0""","""0""","""0""","""https://x.com/vqTakumi/status/1919762906603749837""","""62148552""","""vqTakumi"
"1919723580348367193,""""Tue May 06 14:33:46 +0000 2025""","""1""","""@dianyetir Alhamdulillah no complain kak Roadtrip jkt - malang - jkt ter gak capek sekian ratus kilo di assist adas nya. Pake mobil canggih di keluarga baru ini sisanya konven aja sblm nya soalnya. Jd agak norak wkwkwk""","""1919762519167832443""","""""","""dianyetir""","""in""","""""","""0""","""1""","""0""","""https://x.com/aku_ninu_ninu/status/1919762519167832443""","""260201444""","""aku_ninu_ninu"
"1919758850036506798,""""Tue May 06 14:24:23 +0000 2025""","""0""","""@jstwyrvlonvix mereka norak gausah ditanggepin""","""1919760156990320910""","""""","""jstwyrvlonvix""","""in""","""""","""0""","""0""","""0""","""https://x.com/chikipinks64/status/1919760156990320910""","""1904359310865711104""","""chikipinks64"
"1919758103702339644,""""Tue May 06 14:16:13 +0000 2025""","""0""","""wong wongan norak perkoro pribadi didadekno konsumsi publik""","""1919758103702339644""","""""","""""","""in""","""Kota Semarang, Jawa Tengah""","""0""","""0""","""0""","""https://x.com/tegarstyy/status/1919758103702339644""","""1786637010717085696""","""tegarstyy"
"1919756737239978180,""""Tue May 06 14:16:06 +0000 2025""","""0""","""udh chat ke nomor penjualnya dia malah ga ngerasa ngirim paket dan udh ada 5 org yg chat dia nanya perihal ini. sumpah aneh bgt klo mau nipu gausah gini lah kasian duit ade gue 120 ludes buat barang jelek kaya gtu udh mana ukuran gede motif norak bahan jelek!!!!""","""1919758071921885194""","""""","""bangtanlifez""","""in""","""""","""0""","""1""","""0""","""https://x.com/bangtanlifez/status/1919758071921885194""","""1738578669709537280""","""bangtanlifez"
"1919685768185835711,""""Tue May 06 14:12:10 +0000 2025""","""0""","""@FansNerazzurri norak lo""","""1919757083236540859""","""""","""FansNerazzurri""","""in""","""""","""0""","""0""","""0""","""https://x.com/nawinawi2097/status/1919757083236540859""","""1795011604129718272""","""nawinawi2097"
"1919756735784583539,""""Tue May 06 14:10:47 +0000 2025""","""3""","""Buat cowo-cowo apalagi bapak bapak yang masih suka catcalling cewe-cewe kalian tuh gak keren sama sekali dan gak akan bikin cewe-cewe naksir gitu aja minimal jangan norak dah asli""","""1919756735784583539""","""""","""""","""in""","""Azura ♡""","""0""","""2""","""1""","""https://x.com/wsatoruu/status/1919756735784583539""","""1671540377449558017""","""wsatoruu"
"1919753907380879674,""""Tue May 06 13:59:33 +0000 2025""","""0""","""Gpp alhamdulillaah hasil konsisten Selama ini emang kurang konsisten jadi algoritma toktoknya bingung. Sumpah dari kapan tahun jdi affiliator toktok baru pecah telor. Jdi maaf kalau norak https://t.co/CJjPtnBQys""","""1919753907380879674""","""https://pbs.twimg.com/media/GqRV_9XaMAAocGQ.jpg""","""""","""in""","""https://www.tiktok.com/@abelio""","""0""","""1""","""0""","""https://x.com/X13032091/status/1919753907380879674""","""1588170757502566400""","""X13032091"
"1919751968945471958,""""Tue May 06 13:51:51 +0000 2025""","""0""","""kenapa yaa tahun ini kayak norak bgt heri gitu (heboh sendiri) karna mau ultah padahal tahun² sebelumnya malah cuek dan gak inget kapan hari ultah gak se excited tahun ini apa karna udh kerja yah jd tuh ngeplanning a-z mau makan apa aja mau request masakan apa ke mama dll""","""1919751968945471958""","""""","""""","""in""","""⠀⠀⠀⠀⠀⠀⠀⣰⡾⣶⣄⠀⠀⠀⠀⣠⣾⣷⡄",,,,,,
⠀⠀⣀⣀⣀⣀⠀⢻⣇⢻⣿⠀⠀⠀⠀⣿⡟⣼⡇⠀⣀⣀⣀⡀,,,,,,,,,,,,,
⠀⢀⣿⣿⣿⣿⣷⡌⢿⣦⠉⠀⠀⠀⠀⠁⣼⡿⣡⣾⣿⣿⣿⣿,,,,,,,,,,,,,
⠸⣿⣿⣿⣿⣿⣿⣿⣬⣿⣇⠀⠀⠀⠀⣼⣿⣵⣿⣿⣿⣿⣿⣿⣿⠇,,,,,,,,,,,,,
⠀⠙⠿⣿⣿⣿⣿⣶⣶⣿⠟⠀⠀⠀⠀⠻⣿⣶⣶⣿⣿⣿⣿⠿⠋,,,,,,,,,,,,,
"⠀⠀⠀⠀⠀⠉⠉⠉⠉⠀⠀⠀⠀⠀⠀⠀⠀⠉⠉⠉⠉""","""0""","""2""","""0""","""https://x.com/TheLaady/status/1919751968945471958""","""1218744370804838400""","""TheLaady",,,,,,,
"1919751230202806594,""""Tue May 06 13:48:55 +0000 2025""","""0""","""masa masa indah gue ngabisin waktu 24jam buat mantengin wattpad cekikikan ngetawain jordan novel pertama yg gue beli bodo amat mau dibilang novel wattpad norak kalau seri anak ravispa mah rela gue dikatain norak juga""","""1919751230202806594""","""""","""""","""in""","""""","""0""","""0""","""0""","""https://x.com/sbzjdjdk/status/1919751230202806594""","""1736380471872020480""","""sbzjdjdk"
"1919750170738033103,""""Tue May 06 13:44:42 +0000 2025""","""0""","""Sialan banget yang kirim foto jumpscare ke base.. Norak""","""1919750170738033103""","""""","""""","""in""","""uncommited""","""0""","""1""","""0""","""https://x.com/xujiawqi/status/1919750170738033103""","""1459428784877096963""","""xujiawqi"
"1919715247604031977,""""Tue May 06 13:38:20 +0000 2025""","""0""","""@nishiyamaayuki Norak momentnya gw bgt ini asliii Akhirnya satu acaraaaa""","""1919748569462145451""","""""","""nishiyamaayuki""","""in""","""""","""0""","""1""","""0""","""https://x.com/istaaanyan/status/1919748569462145451""","""1559103972077539332""","""istaaanyan"
"1919588598741082420,""""Tue May 06 13:38:08 +0000 2025""","""0""","""@kompascom Yg terus muji fufufafa NORAK""","""1919748517343498392""","""""","""kompascom""","""in""","""ÜT: -6.272248,106.795676""","""0""","""0""","""0""","""https://x.com/armeyn_n/status/1919748517343498392""","""83407709""","""armeyn_n"
"1919748016107618309,""""Tue May 06 13:36:08 +0000 2025""","""0""","""Jadi inget West Jakarta City Hardcore. Asli norak banget ""","""1919748016107618309""","""""","""""","""in""","""Jakarta Capital Region""","""0""","""0""","""0""","""https://x.com/Guniardi85/status/1919748016107618309""","""1391119925666742272""","""Guniardi85"
"1919747995366781252,""""Tue May 06 13:36:03 +0000 2025""","""0""","""Juwamet cik. Norak bgt.""","""1919747995366781252""","""""","""""","""in""","""Jametz, France""","""0""","""0""","""0""","""https://x.com/sishateyousm/status/1919747995366781252""","""1486659427998453770""","""sishateyousm"
"1919680482222002634,""""Tue May 06 13:31:03 +0000 2025""","""0""","""@MurtadhaOne1 Dia Norak !""","""1919746735192047814""","""""","""MurtadhaOne1""","""in""","""""","""0""","""0""","""0""","""https://x.com/Kabut77tebal/status/1919746735192047814""","""1805544064999473153""","""Kabut77tebal"
"1919742210599215251,""""Tue May 06 13:13:04 +0000 2025""","""1""","""kena mental sedikit karna diblgin norak tp issoke WKWKWK https://t.co/0YstMVe2lu""","""1919742210599215251""","""https://pbs.twimg.com/media/GqRLW8ybAAECY53.jpg""","""""","""in""","""""","""0""","""0""","""0""","""https://x.com/preciousarss/status/1919742210599215251""","""1252460728511983616""","""preciousarss"
"1919708814795805078,""""Tue May 06 12:22:37 +0000 2025""","""0""","""@yaemixko Iyaa deact Ealaah.. orang norak ternyata""","""1919729515074617431""","""""","""yaemixko""","""in""","""🇮🇩""","""0""","""1""","""0""","""https://x.com/shermatala/status/1919729515074617431""","""1104779318368976897""","""shermatala"
"1919729402931191879,""""Tue May 06 12:22:11 +0000 2025""","""0""","""anjing ini fans inter lokal udh gaptek norak kolot tukang kompor lagi. meni bubudakeun pisan jang jang""","""1919729402931191879""","""""","""""","""in""","""South Africa""","""0""","""0""","""0""","""https://x.com/keepitcoollll/status/1919729402931191879""","""1614641422392774656""","""keepitcoollll"
"1919728830500983233,""""Tue May 06 12:19:54 +0000 2025""","""4""","""MAAF NORAK""","""1919728830500983233""","""""","""""","""in""","""""","""0""","""0""","""0""","""https://x.com/xxxsyks_/status/1919728830500983233""","""1815991548817117185""","""xxxsyks_"
"1919724763314069889,""""Tue May 06 12:15:44 +0000 2025""","""0""","""@fukuroodn wkwkwkwkwk sama kalo disumatra ada sumbar aku setiap liat ada mata air jernih di pinggir jalan videoin sapi lagi jalan di sawah divideoin norak banget ""","""1919727782776430749""","""""","""fukuroodn""","""in""","""4 55 1""","""0""","""1""","""0""","""https://x.com/jenoverstappen/status/1919727782776430749""","""1553342529395130368""","""jenoverstappen"
"1919366550940709067,""""Tue May 06 12:14:44 +0000 2025""","""1""","""@tanyarlfes Plis lah. Spending baru 2x jangan minta lebih lebih. Ada yang spending ugal2 an udah sayang2 an tetep belom bisa terikat. Jangan norak ah""","""1919727529784705210""","""""","""tanyarlfes""","""in""","""INTJ-A ♍""","""0""","""0""","""0""","""https://x.com/ojiBoy_828/status/1919727529784705210""","""1597894899763859462""","""ojiBoy_828"
"1919727475606880371,""""Tue May 06 12:14:31 +0000 2025""","""1""","""Wkwkwkw gue norak banget pertama kali punya safe space sendiri Njir ternyata gini ya rasanya""","""1919727475606880371""","""""","""""","""in""","""Jakarta Capital Region""","""0""","""1""","""0""","""https://x.com/AnangPradipta/status/1919727475606880371""","""766818""","""AnangPradipta"
"1919726824839323839,""""Tue May 06 12:11:56 +0000 2025""","""0""","""demi apapun aga norak si tp baru kali itu gw makan nasgor di kuali trs diketawain sekluarga https://t.co/akHmqfqHNh""","""1919726824839323839""","""https://pbs.twimg.com/media/GqQ9X4Fa4AAauQX.jpg""","""""","""in""","""dark side 𝑚𝑒𝑑𝑠𝑡𝑢𝑑 🫶🏻""","""0""","""1""","""0""","""https://x.com/dynpirimidyn/status/1919726824839323839""","""1652177755734437889""","""dynpirimidyn"
"1919725265019929058,""""Tue May 06 12:05:44 +0000 2025""","""0""","""aya keneh nu kieu? norak sumpah duh ngerakeun sanegara eta mah lain sabandungeun deui""","""1919725265019929058""","""""","""""","""in""","""""","""0""","""1""","""0""","""https://x.com/mejikuhibiniia/status/1919725265019929058""","""918104645221867520""","""mejikuhibiniia"
"1919724728215814531,""""Tue May 06 12:03:36 +0000 2025""","""3""","""norak kampungan""","""1919724728215814531""","""""","""""","""in""","""if only...""","""0""","""0""","""0""","""https://x.com/amsylphy/status/1919724728215814531""","""1708739359204376576""","""amsylphy"
"1890029773554110484,""""Tue May 06 12:02:29 +0000 2025""","""2""",""" Totebag Iseng co krna cuma 60ribuan ternyata ngga mengecewakan bahan kulit lentur jadi nyaman bgt pas di slempangin dalemnya juga ada pouch jd lebih rapi warnanya juga ga norak!! muat bantak barang : https://t.co/wRFUPR5RIy https://t.co/lRGiIx1mc0""","""1919724445729464476""","""https://pbs.twimg.com/media/GqQ68tObAAEhvHG.jpg""","""iifadilaaa""","""in""","""Tidak terdeteksi""","""1""","""0""","""0""","""https://x.com/iifadilaaa/status/1919724445729464476""","""1091628924851838976""","""iifadilaaa"
"1919713712379986117,""""Tue May 06 12:00:43 +0000 2025""","""0""","""@barcastuff_idn stuff tanggapan fp inter yang bawa bawa isu kemanusiaan buat banter dong norak banget itu""","""1919724002278330414""","""""","""barcastuff_idn""","""in""","""Indonesia""","""0""","""2""","""0""","""https://x.com/bocilyeboleilo/status/1919724002278330414""","""1779910651865104386""","""bocilyeboleilo"
"1919706108178137339,""""Tue May 06 11:59:40 +0000 2025""","""1""","""@InteristaLK Ga jelas lagian ngapain sih kaya gitu-gituan mainannya malah norak""","""1919723736854626778""","""""","""InteristaLK""","""in""","""Indonesia""","""0""","""0""","""0""","""https://x.com/dickyrrr/status/1919723736854626778""","""100764022""","""dickyrrr"
"1919190267879461100,""""Tue May 06 11:51:29 +0000 2025""","""0""","""@Pai_C1 Norak banget dah kliatan kaya org baru punya ""","""1919721677824590023""","""""","""Pai_C1""","""in""","""Tegal, Jawa Tengah""","""0""","""0""","""0""","""https://x.com/baskororhmn/status/1919721677824590023""","""1111165196599345153""","""baskororhmn"
"1919606126229729575,""""Tue May 06 11:49:14 +0000 2025""","""1""","""@AkeonGGaming orang norak udh deactivate akun""","""1919721113338151379""","""""","""AkeonGGaming""","""in""","""Nether Realm""","""0""","""1""","""0""","""https://x.com/rie_cassia/status/1919721113338151379""","""1525510051946868741""","""rie_cassia"
"1919721085748314247,""""Tue May 06 11:49:08 +0000 2025""","""1""","""Lucu banget bisa berubah warna (norak) https://t.co/7RLLunN2zM""","""1919721085748314247""","""https://pbs.twimg.com/media/GqQ4HvSbAAEDwiv.jpg""","""""","""in""","""OPEN 24 JAM, TUTUP PAS TIDUR ""","""0""","""1""","""0""","""https://x.com/reinesday/status/1919721085748314247""","""1469328701317730307""","""reinesday"
"1919719315714286052,""""Tue May 06 11:47:38 +0000 2025""","""0""","""Dipake ke kantor juga cakep bgt? Buat anak kuliahan apalagi hey bawa binder pake tas ini keliatan cakep + ga norak samsek muat banyak juga dan modelnya tuh bukan fast fashion alias timeless bakal kepake sih buat nanti juga https://t.co/Z4sL303VEo""","""1919720709397348489""","""https://pbs.twimg.com/media/GqQ3zqIbAAACDkV.jpg""","""dewdewiiy""","""in""","""""","""0""","""1""","""0""","""https://x.com/dewdewiiy/status/1919720709397348489""","""1857240581896089600""","""dewdewiiy"
"1919720323068371340,""""Tue May 06 11:46:06 +0000 2025""","""0""","""HEH HATERS! Pada comment foto kita.. Kenapa? Sirik lo ya? Gak punya sobat kayak kita? Iya? Atau ga sepopuler kita? Iya? Norak lo ya~ kampungan! Lo bebas ikutin gaya kita~ tapi jangan sampe keliatan tololnya~ gobloknya~ kampungannya~ Daaan.. noraknya~ Please deh! BITCH! (Caps)""","""1919720325576585280""","""""","""0415files""","""in""","""""","""0""","""0""","""0""","""https://x.com/0415files/status/1919720325576585280""","""1318771332574711808""","""0415files"
"1919698667004690726,""""Tue May 06 10:20:03 +0000 2025""","""0""",""" jgn ditiru jadi lo sebenernya tau dan paham kan bahu jalan itu gak sembarangan boleh dipake? orang kaya gini tuh kenapa sih njir kalo mau mati gausah ngajak orang lain kocak. mau dibilang keren padahal norak banget.""","""1919698667004690726""","""""","""""","""in""","""dnf""","""0""","""0""","""0""","""https://x.com/macrkris/status/1919698667004690726""","""1787459589845446656""","""macrkris"
"1919608524906131484,""""Tue May 06 10:19:59 +0000 2025""","""2""","""@likelilme @01_wh0 @samohae23 emang gue lagi ngatain main lu kurang jauh? reading comprehensionnya norak dan emang suka berasumsi gini tipikal nadongo banget. udah berani negur ngapain masih nyuruh orang lain buat negur? dikira orang 24 jam main twt kali ya sampai tau semua war yg ada. kita ga senolep elu""","""1919698651070267514""","""""","""likelilme""","""in""","""""","""0""","""1""","""0""","""https://x.com/__heynina/status/1919698651070267514""","""1629691780152307712""","""__heynina"
"1919696387698000317,""""Tue May 06 10:10:59 +0000 2025""","""0""","""ape lu norak. muak banget liat manusia haus validasi kehabisan lapak. massa banyak isinya norak gabisa di kontrol apa emang gamau ngontrol?""","""1919696387698000317""","""""","""""","""in""","""""","""0""","""0""","""0""","""https://x.com/haloaraaaa/status/1919696387698000317""","""1321736773186146306""","""haloaraaaa"
